id,natural_language,sql_query
95,"Show me the position, age, hire_date of employees where name is less than Miranda Gomez","SELECT position, age, hire_date FROM users WHERE name < 'Miranda Gomez';"
96,"Show me the email, name, salary of employees where hire_date is after 2018-12-24","SELECT email, name, salary FROM users WHERE hire_date > '2018-12-24';"
97,Show me the hire_date of employees where age is after 41,SELECT hire_date FROM users WHERE age > 41;
98,Show me the salary of employees where email is less than Charles Nguyen,SELECT salary FROM users WHERE email < 'Charles Nguyen';
99,Show me the age of employees where email is before Brian Brown,SELECT age FROM users WHERE email < 'Brian Brown';
100,"Show me the hire_date, position, age of employees where hire_date is not equal to 2017-08-11","SELECT hire_date, position, age FROM users WHERE hire_date != '2017-08-11';"
101,"Show me the salary, email, name, position of employees where age is after 24","SELECT salary, email, name, position FROM users WHERE age > 24;"
102,"Show me the position, name, hire_date, salary of employees where name is less than Sara Winters","SELECT position, name, hire_date, salary FROM users WHERE name < 'Sara Winters';"
103,Show me the email of employees where email is after Mike Schwartz,SELECT email FROM users WHERE email > 'Mike Schwartz';
104,Show me the department of employees where name is not equal to Joseph Combs,SELECT department FROM users WHERE name != 'Joseph Combs';
105,Show me the hire_date of employees where department is not equal to Sales,SELECT hire_date FROM users WHERE department != 'Sales';
106,"Show me the age, salary, position of employees where position is after Coordinator","SELECT age, salary, position FROM users WHERE position > 'Coordinator';"
107,"Show me the salary, age, department of employees where department is after IT Support","SELECT salary, age, department FROM users WHERE department > 'IT Support';"
108,Show me the age of employees where email is less than Mr. Brandon Hamilton,SELECT age FROM users WHERE email < 'Mr. Brandon Hamilton';
109,"Show me the department, age, hire_date, salary of employees where position is less than Manager","SELECT department, age, hire_date, salary FROM users WHERE position < 'Manager';"
110,"Show me the email, salary, hire_date, name of employees where age is not equal to 53","SELECT email, salary, hire_date, name FROM users WHERE age != 53;"
111,"Show me the hire_date, email, department of employees where hire_date is not equal to 2020-08-17","SELECT hire_date, email, department FROM users WHERE hire_date != '2020-08-17';"
112,"Show me the hire_date, salary of employees where email is greater than Emma Hayes","SELECT hire_date, salary FROM users WHERE email > 'Emma Hayes';"
113,"Show me the email, name, position, age of employees where name is not equal to Leroy Rubio","SELECT email, name, position, age FROM users WHERE name != 'Leroy Rubio';"
114,"Show me the email, salary, department of employees where hire_date is equal to 2020-06-15","SELECT email, salary, department FROM users WHERE hire_date = '2020-06-15';"
115,Show me the department of employees where salary is not equal to 126335,SELECT department FROM users WHERE salary != 126335;
116,"Show me the salary, name, hire_date of employees where email is less than George Strong","SELECT salary, name, hire_date FROM users WHERE email < 'George Strong';"
117,"Show me the hire_date, department, age, name of employees where salary is before 141548","SELECT hire_date, department, age, name FROM users WHERE salary < 141548;"
118,"Show me the age, position, department, salary of employees where age is equal to 56","SELECT age, position, department, salary FROM users WHERE age = 56;"
119,"Show me the email, position, salary, age of employees where department is greater than Finance","SELECT email, position, salary, age FROM users WHERE department > 'Finance';"
120,"Show me the hire_date, name, age, position of employees where name is after Joshua Flores","SELECT hire_date, name, age, position FROM users WHERE name > 'Joshua Flores';"
121,"Show me the name, email, position, department of employees where hire_date is less than 2017-10-01","SELECT name, email, position, department FROM users WHERE hire_date < '2017-10-01';"
122,"Show me the department, position of employees where department is less than Finance","SELECT department, position FROM users WHERE department < 'Finance';"
123,"Show me the email, hire_date, age of employees where position is not equal to Manager","SELECT email, hire_date, age FROM users WHERE position != 'Manager';"
124,"Show me the position, department, age, name of employees where email is equal to David Mitchell","SELECT position, department, age, name FROM users WHERE email = 'David Mitchell';"
125,"Show me the position, salary, department of employees where email is equal to Elizabeth Turner","SELECT position, salary, department FROM users WHERE email = 'Elizabeth Turner';"
126,Show me the position of employees where age is greater than 55,SELECT position FROM users WHERE age > 55;
127,Show me the salary of employees where department is after Finance,SELECT salary FROM users WHERE department > 'Finance';
128,Show me the department of employees where name is less than Christian Lane,SELECT department FROM users WHERE name < 'Christian Lane';
129,Show me the salary of employees where salary is equal to 71395,SELECT salary FROM users WHERE salary = 71395;
130,"Show me the hire_date, email, age, name of employees where position is before Specialist","SELECT hire_date, email, age, name FROM users WHERE position < 'Specialist';"
131,"Show me the email, age, name of employees where hire_date is less than 2021-05-05","SELECT email, age, name FROM users WHERE hire_date < '2021-05-05';"
132,"Show me the department, email, salary of employees where salary is not equal to 95976","SELECT department, email, salary FROM users WHERE salary != 95976;"
133,"Show me the email, salary, position, name of employees where department is greater than Sales","SELECT email, salary, position, name FROM users WHERE department > 'Sales';"
134,"Show me the hire_date, salary, department, name of employees where department is before Engineering","SELECT hire_date, salary, department, name FROM users WHERE department < 'Engineering';"
135,Show me the age of employees where hire_date is not equal to 2018-09-29,SELECT age FROM users WHERE hire_date != '2018-09-29';
136,"Show me the salary, position, name, hire_date of employees where email is equal to Hannah Gallagher","SELECT salary, position, name, hire_date FROM users WHERE email = 'Hannah Gallagher';"
137,Show me the department of employees where hire_date is less than 2020-03-31,SELECT department FROM users WHERE hire_date < '2020-03-31';
138,Show me the email of employees where email is greater than Rebekah Cross,SELECT email FROM users WHERE email > 'Rebekah Cross';
139,"Show me the department, salary, name of employees where age is before 30","SELECT department, salary, name FROM users WHERE age < 30;"
140,Show me the salary of employees where position is not equal to Specialist,SELECT salary FROM users WHERE position != 'Specialist';
141,Show me the email of employees where name is before Krista Rowe,SELECT email FROM users WHERE name < 'Krista Rowe';
142,Show me the age of employees where age is after 22,SELECT age FROM users WHERE age > 22;
143,"Show me the salary, department, hire_date of employees where department is not equal to Finance","SELECT salary, department, hire_date FROM users WHERE department != 'Finance';"
144,"Show me the department, age, hire_date, name of employees where name is before Michael Barber","SELECT department, age, hire_date, name FROM users WHERE name < 'Michael Barber';"
145,"Show me the salary, department, position of employees where age is greater than 61","SELECT salary, department, position FROM users WHERE age > 61;"
146,"Show me the salary, email, name of employees where position is before Manager","SELECT salary, email, name FROM users WHERE position < 'Manager';"
147,"Show me the hire_date, age of employees where age is greater than 22","SELECT hire_date, age FROM users WHERE age > 22;"
148,"Show me the hire_date, name, salary of employees where department is not equal to Engineering","SELECT hire_date, name, salary FROM users WHERE department != 'Engineering';"
149,Show me the salary of employees where name is after Jeffrey Walker,SELECT salary FROM users WHERE name > 'Jeffrey Walker';
150,Show me the name of employees where hire_date is less than 2019-05-14,SELECT name FROM users WHERE hire_date < '2019-05-14';
151,"Show me the name, email, department of employees where email is before Jodi Diaz","SELECT name, email, department FROM users WHERE email < 'Jodi Diaz';"
152,"Show me the name, position, age of employees where salary is less than 86314","SELECT name, position, age FROM users WHERE salary < 86314;"
153,"Show me the hire_date, department, age, position of employees where department is after Marketing","SELECT hire_date, department, age, position FROM users WHERE department > 'Marketing';"
154,Show me the hire_date of employees where email is equal to Shirley Juarez,SELECT hire_date FROM users WHERE email = 'Shirley Juarez';
155,"Show me the hire_date, salary, email of employees where salary is less than 65598","SELECT hire_date, salary, email FROM users WHERE salary < 65598;"
156,Show me the email of employees where hire_date is greater than 2022-09-02,SELECT email FROM users WHERE hire_date > '2022-09-02';
157,"Show me the salary, hire_date, name of employees where email is greater than Nicole Whitaker","SELECT salary, hire_date, name FROM users WHERE email > 'Nicole Whitaker';"
158,"Show me the hire_date, position, name of employees where position is after Manager","SELECT hire_date, position, name FROM users WHERE position > 'Manager';"
159,"Show me the position, department of employees where name is greater than Roy Johnson","SELECT position, department FROM users WHERE name > 'Roy Johnson';"
160,"Show me the department, salary of employees where department is greater than IT Support","SELECT department, salary FROM users WHERE department > 'IT Support';"
161,"Show me the name, salary of employees where position is not equal to Engineer","SELECT name, salary FROM users WHERE position != 'Engineer';"
162,"Show me the hire_date, email of employees where hire_date is not equal to 2024-10-07","SELECT hire_date, email FROM users WHERE hire_date != '2024-10-07';"
163,"Show me the name, position, age, department of employees where department is before Sales","SELECT name, position, age, department FROM users WHERE department < 'Sales';"
164,"Show me the salary, hire_date, email of employees where position is greater than Director","SELECT salary, hire_date, email FROM users WHERE position > 'Director';"
165,Show me the name of employees where email is greater than Dr. Michelle Lane,SELECT name FROM users WHERE email > 'Dr. Michelle Lane';
166,Show me the salary of employees where age is not equal to 41,SELECT salary FROM users WHERE age != 41;
167,"Show me the age, position of employees where name is equal to Kristen Barnett","SELECT age, position FROM users WHERE name = 'Kristen Barnett';"
168,"Show me the salary, hire_date of employees where name is before Tara Reid","SELECT salary, hire_date FROM users WHERE name < 'Tara Reid';"
169,"Show me the hire_date, position of employees where salary is after 112255","SELECT hire_date, position FROM users WHERE salary > 112255;"
170,"Show me the hire_date, position of employees where hire_date is greater than 2023-04-11","SELECT hire_date, position FROM users WHERE hire_date > '2023-04-11';"
171,"Show me the salary, age, hire_date, name of employees where salary is less than 145190","SELECT salary, age, hire_date, name FROM users WHERE salary < 145190;"
172,"Show me the position, name of employees where email is equal to Frank Edwards","SELECT position, name FROM users WHERE email = 'Frank Edwards';"
173,"Show me the position, hire_date, age, salary of employees where position is equal to Engineer","SELECT position, hire_date, age, salary FROM users WHERE position = 'Engineer';"
174,"Show me the salary, age, hire_date, department of employees where department is not equal to HR","SELECT salary, age, hire_date, department FROM users WHERE department != 'HR';"
175,"Show me the hire_date, department, email of employees where salary is equal to 112678","SELECT hire_date, department, email FROM users WHERE salary = 112678;"
176,"Show me the salary, hire_date of employees where department is less than Sales","SELECT salary, hire_date FROM users WHERE department < 'Sales';"
177,Show me the department of employees where salary is less than 81573,SELECT department FROM users WHERE salary < 81573;
178,"Show me the age, department, hire_date of employees where age is greater than 65","SELECT age, department, hire_date FROM users WHERE age > 65;"
179,"Show me the position, salary of employees where salary is equal to 52634","SELECT position, salary FROM users WHERE salary = 52634;"
180,"Show me the department, salary, email, hire_date of employees where name is after Christopher Avery","SELECT department, salary, email, hire_date FROM users WHERE name > 'Christopher Avery';"
181,"Show me the name, salary of employees where email is after Vicki Wood","SELECT name, salary FROM users WHERE email > 'Vicki Wood';"
182,Show me the email of employees where salary is after 59495,SELECT email FROM users WHERE salary > 59495;
183,"Show me the hire_date, department, email, position of employees where hire_date is before 2018-01-22","SELECT hire_date, department, email, position FROM users WHERE hire_date < '2018-01-22';"
184,"Show me the department, name of employees where hire_date is greater than 2021-11-26","SELECT department, name FROM users WHERE hire_date > '2021-11-26';"
185,"Show me the hire_date, email, salary, name of employees where salary is greater than 123833","SELECT hire_date, email, salary, name FROM users WHERE salary > 123833;"
186,"Show me the hire_date, department, salary, name of employees where position is before Manager","SELECT hire_date, department, salary, name FROM users WHERE position < 'Manager';"
187,"Show me the position, hire_date of employees where hire_date is not equal to 2015-11-08","SELECT position, hire_date FROM users WHERE hire_date != '2015-11-08';"
188,Show me the department of employees where department is not equal to IT Support,SELECT department FROM users WHERE department != 'IT Support';
189,"Show me the name, position, department, salary of employees where position is before Director","SELECT name, position, department, salary FROM users WHERE position < 'Director';"
190,"Show me the age, name, hire_date of employees where email is before Brooke Parker","SELECT age, name, hire_date FROM users WHERE email < 'Brooke Parker';"
191,"Show me the name, salary, hire_date, email of employees where salary is not equal to 69654","SELECT name, salary, hire_date, email FROM users WHERE salary != 69654;"
192,"Show me the age, salary, email of employees where position is less than Specialist","SELECT age, salary, email FROM users WHERE position < 'Specialist';"
193,"Show me the salary, email, department of employees where email is equal to Susan Murray","SELECT salary, email, department FROM users WHERE email = 'Susan Murray';"
194,"Show me the email, age, name, salary of employees where name is less than Phillip Chen","SELECT email, age, name, salary FROM users WHERE name < 'Phillip Chen';"
195,"Show me the email, name, department, hire_date of employees where hire_date is not equal to 2021-08-12","SELECT email, name, department, hire_date FROM users WHERE hire_date != '2021-08-12';"
196,"Show me the department, name of employees where hire_date is greater than 2015-08-25","SELECT department, name FROM users WHERE hire_date > '2015-08-25';"
197,"Show me the hire_date, email, salary, department of employees where name is not equal to Ariel Fitzgerald","SELECT hire_date, email, salary, department FROM users WHERE name != 'Ariel Fitzgerald';"
198,Show me the department of employees where name is less than Emily Gomez,SELECT department FROM users WHERE name < 'Emily Gomez';
199,"Show me the hire_date, position, age of employees where department is greater than Sales","SELECT hire_date, position, age FROM users WHERE department > 'Sales';"
200,Show me the name of employees where position is greater than Coordinator,SELECT name FROM users WHERE position > 'Coordinator';
201,"Show me the hire_date, name of employees where department is greater than HR","SELECT hire_date, name FROM users WHERE department > 'HR';"
202,"Show me the age, hire_date, department of employees where email is before Jessica Kaiser","SELECT age, hire_date, department FROM users WHERE email < 'Jessica Kaiser';"
203,"Show me the position, email of employees where position is equal to Specialist","SELECT position, email FROM users WHERE position = 'Specialist';"
204,"Show me the salary, position, hire_date, age of employees where hire_date is greater than 2017-05-15","SELECT salary, position, hire_date, age FROM users WHERE hire_date > '2017-05-15';"
205,"Show me the age, department of employees where position is before Engineer","SELECT age, department FROM users WHERE position < 'Engineer';"
206,"Show me the salary, department of employees where department is not equal to Finance","SELECT salary, department FROM users WHERE department != 'Finance';"
207,Show me the hire_date of employees where age is equal to 43,SELECT hire_date FROM users WHERE age = 43;
208,"Show me the position, department, name of employees where age is equal to 36","SELECT position, department, name FROM users WHERE age = 36;"
209,"Show me the age, name, department of employees where salary is less than 108945","SELECT age, name, department FROM users WHERE salary < 108945;"
210,"Show me the email, position, name, hire_date of employees where email is less than Erika Moreno","SELECT email, position, name, hire_date FROM users WHERE email < 'Erika Moreno';"
211,Show me the name of employees where hire_date is before 2024-07-18,SELECT name FROM users WHERE hire_date < '2024-07-18';
212,Show me the position of employees where salary is equal to 126924,SELECT position FROM users WHERE salary = 126924;
213,"Show me the position, salary, hire_date of employees where email is greater than Rodney Allen","SELECT position, salary, hire_date FROM users WHERE email > 'Rodney Allen';"
214,Show me the salary of employees where position is less than Director,SELECT salary FROM users WHERE position < 'Director';
215,"Show me the position, email, name of employees where position is greater than Director","SELECT position, email, name FROM users WHERE position > 'Director';"
216,"Show me the department, email, name of employees where salary is equal to 107585","SELECT department, email, name FROM users WHERE salary = 107585;"
217,"Show me the salary, department, position of employees where department is greater than Sales","SELECT salary, department, position FROM users WHERE department > 'Sales';"
218,Show me the age of employees where age is not equal to 24,SELECT age FROM users WHERE age != 24;
219,"Show me the salary, position, hire_date, email of employees where salary is less than 108787","SELECT salary, position, hire_date, email FROM users WHERE salary < 108787;"
220,"Show me the position, salary, department, age of employees where age is greater than 51","SELECT position, salary, department, age FROM users WHERE age > 51;"
221,"Show me the email, name of employees where department is before Finance","SELECT email, name FROM users WHERE department < 'Finance';"
222,"Show me the name, email, position, department of employees where email is not equal to David Brooks","SELECT name, email, position, department FROM users WHERE email != 'David Brooks';"
223,"Show me the department, email of employees where position is before Specialist","SELECT department, email FROM users WHERE position < 'Specialist';"
224,"Show me the department, salary, hire_date of employees where department is less than Engineering","SELECT department, salary, hire_date FROM users WHERE department < 'Engineering';"
225,Show me the position of employees where name is after Michael Oconnor,SELECT position FROM users WHERE name > 'Michael Oconnor';
226,Show me the age of employees where hire_date is before 2021-06-02,SELECT age FROM users WHERE hire_date < '2021-06-02';
227,Show me the email of employees where age is equal to 25,SELECT email FROM users WHERE age = 25;
228,"Show me the email, age, department of employees where department is less than HR","SELECT email, age, department FROM users WHERE department < 'HR';"
229,"Show me the email, age, position, name of employees where position is equal to Manager","SELECT email, age, position, name FROM users WHERE position = 'Manager';"
230,"Show me the hire_date, salary, age of employees where name is less than Mary Salazar","SELECT hire_date, salary, age FROM users WHERE name < 'Mary Salazar';"
231,"Show me the name, age, email of employees where email is before Jesus Sanders","SELECT name, age, email FROM users WHERE email < 'Jesus Sanders';"
232,Show me the salary of employees where hire_date is before 2015-08-23,SELECT salary FROM users WHERE hire_date < '2015-08-23';
233,"Show me the hire_date, salary, name, department of employees where name is equal to Erik Williams","SELECT hire_date, salary, name, department FROM users WHERE name = 'Erik Williams';"
234,"Show me the department, name, salary, hire_date of employees where email is before Diana Cobb","SELECT department, name, salary, hire_date FROM users WHERE email < 'Diana Cobb';"
235,"Show me the name, salary, age of employees where age is before 24","SELECT name, salary, age FROM users WHERE age < 24;"
236,"Show me the hire_date, salary, email, department of employees where email is after Michael Melton","SELECT hire_date, salary, email, department FROM users WHERE email > 'Michael Melton';"
237,Show me the position of employees where department is less than Marketing,SELECT position FROM users WHERE department < 'Marketing';
238,Show me the name of employees where salary is after 78190,SELECT name FROM users WHERE salary > 78190;
239,"Show me the salary, hire_date, email of employees where salary is after 123548","SELECT salary, hire_date, email FROM users WHERE salary > 123548;"
240,"Show me the department, name of employees where department is greater than HR","SELECT department, name FROM users WHERE department > 'HR';"
241,Show me the hire_date of employees where email is not equal to Lisa Berger,SELECT hire_date FROM users WHERE email != 'Lisa Berger';
242,"Show me the hire_date, age, department of employees where name is after Lisa Clayton","SELECT hire_date, age, department FROM users WHERE name > 'Lisa Clayton';"
243,"Show me the hire_date, position of employees where name is equal to Kurt Mccoy","SELECT hire_date, position FROM users WHERE name = 'Kurt Mccoy';"
244,"Show me the position, hire_date of employees where name is before Mark Carney","SELECT position, hire_date FROM users WHERE name < 'Mark Carney';"
245,"Show me the name, position, email of employees where department is less than IT Support","SELECT name, position, email FROM users WHERE department < 'IT Support';"
246,"Show me the salary, position, hire_date, email of employees where department is not equal to IT Support","SELECT salary, position, hire_date, email FROM users WHERE department != 'IT Support';"
247,"Show me the department, position, salary of employees where department is greater than Marketing","SELECT department, position, salary FROM users WHERE department > 'Marketing';"
